Question                  Correct Label               Predict Label
What is the population of Seattle ?       NUM:other       ABBR:abb
How much was a ticket for the Titanic ?       NUM:money       LOC:city
What is the largest city in the world ?       LOC:city       ENTY:techmeth
What American composer wrote the music for `` West Side Story '' ?       HUM:ind       ENTY:techmeth
Where is the Mall of the America ?       LOC:other       ENTY:techmeth
What is the pH scale ?       DESC:def       NUM:ord
What type of currency is used in Australia ?       ENTY:currency       ENTY:techmeth
How tall is the Gateway Arch in St. Louis , MO ?       NUM:dist       ABBR:abb
How much does the human adult female brain weigh ?       NUM:weight       LOC:state
Who was the first governor of Alaska ?       HUM:ind       ENTY:techmeth
What is a prism ?       DESC:def       ABBR:abb
When was the first liver transplant ?       NUM:date       ENTY:techmeth
Who was elected president of South Africa in 1994 ?       HUM:ind       ENTY:techmeth
What is the population of China ?       NUM:other       LOC:city
When was Rosa Parks born ?       NUM:date       ENTY:other
Why is a ladybug helpful ?       DESC:reason       LOC:state
What is amoxicillin ?       DESC:def       ENTY:symbol
Who was the first female United States Representative ?       HUM:ind       ENTY:food
What are xerophytes ?       DESC:def       NUM:date
What country did Ponce de Leon come from ?       LOC:country       ENTY:techmeth
The U.S. Department of Treasury first issued paper currency for the U.S. during which war ?       ENTY:event       ENTY:techmeth
What is desktop publishing ?       DESC:def       ENTY:techmeth
What is the temperature of the sun 's surface ?       NUM:temp       ABBR:abb
What year did Canada join the United Nations ?       NUM:date       ENTY:techmeth
What is the oldest university in the US ?       HUM:gr       ENTY:techmeth
Where is Prince Edward Island ?       LOC:other       NUM:other
Mercury , what year was it discovered ?       NUM:date       ENTY:techmeth
What is cryogenics ?       DESC:def       LOC:other
What are coral reefs ?       DESC:def       ENTY:instru
What is the longest major league baseball-winning streak ?       ENTY:other       ENTY:techmeth
What is neurology ?       DESC:def       ABBR:abb
Who invented the calculator ?       HUM:ind       ENTY:techmeth
How do you measure earthquakes ?       DESC:manner       ENTY:currency
Who is Duke Ellington ?       HUM:desc       ENTY:techmeth
What county is Phoenix , AZ in ?       LOC:city       ENTY:food
What is a micron ?       DESC:def       LOC:state
The sun 's core , what is the temperature ?       NUM:temp       NUM:perc
What is the Ohio state bird ?       ENTY:animal       ENTY:techmeth
When were William Shakespeare 's twins born ?       NUM:date       ENTY:techmeth
What is the highest dam in the U.S. ?       LOC:other       ENTY:techmeth
What color is a poison arrow frog ?       ENTY:color       LOC:city
What is acupuncture ?       DESC:def       ABBR:abb
What is the length of the coastline of the state of Alaska ?       NUM:dist       ENTY:color
What is the name of Neil Armstrong 's wife ?       HUM:ind       ENTY:techmeth
What is Hawaii 's state flower ?       ENTY:plant       ENTY:techmeth
Who won Ms. American in 1989 ?       HUM:ind       ABBR:exp
When did the Hindenberg crash ?       NUM:date       LOC:other
What mineral helps prevent osteoporosis ?       ENTY:substance       ABBR:abb
What was the last year that the Chicago Cubs won the World Series ?       NUM:date       ENTY:product
Where is Perth ?       LOC:other       ENTY:techmeth
What year did WWII begin ?       NUM:date       ENTY:lang
What is the diameter of a golf ball ?       NUM:dist       ENTY:currency
What is an eclipse ?       DESC:def       ENTY:techmeth
Who discovered America ?       HUM:ind       ABBR:abb
What is the earth 's diameter ?       NUM:dist       ABBR:abb
Which president was unmarried ?       HUM:ind       ENTY:techmeth
How wide is the Milky Way galaxy ?       NUM:dist       ENTY:techmeth
During which season do most thunderstorms occur ?       NUM:date       ENTY:food
What is Wimbledon ?       DESC:def       LOC:city
What is the gestation period for a cat ?       NUM:period       ENTY:currency
How far is a nautical mile ?       NUM:dist       LOC:state
Who was the abolitionist who led the raid on Harper 's Ferry in 1859 ?       HUM:ind       ENTY:dismed
What does target heart rate mean ?       DESC:def       ENTY:techmeth
What was the first satellite to go into space ?       ENTY:product       ENTY:symbol
What is foreclosure ?       DESC:def       ABBR:abb
What is the major fault line near Kentucky ?       ENTY:other       ABBR:abb
Where is the Holland Tunnel ?       LOC:other       LOC:other
Who wrote the hymn `` Amazing Grace '' ?       HUM:ind       HUM:desc
What position did Willie Davis play in baseball ?       HUM:title       ABBR:exp
What are platelets ?       DESC:def       ENTY:techmeth
What is severance pay ?       DESC:def       ENTY:techmeth
What is the name of Roy Roger 's dog ?       ENTY:animal       ENTY:techmeth
Where are the National Archives ?       LOC:other       ENTY:techmeth
What is a baby turkey called ?       ENTY:animal       ENTY:product
What is poliomyelitis ?       DESC:def       LOC:other
What is the longest bone in the human body ?       ENTY:body       ABBR:abb
Who is a German philosopher ?       HUM:ind       ENTY:lang
What were Christopher Columbus ' three ships ?       ENTY:veh       NUM:date
What does Phi Beta Kappa mean ?       DESC:def       NUM:speed
What is nicotine ?       DESC:def       DESC:manner
What is another name for vitamin B1 ?       ENTY:termeq       ABBR:abb
Who discovered radium ?       HUM:ind       ABBR:abb
What are sunspots ?       DESC:def       NUM:other
When was Algeria colonized ?       NUM:date       ENTY:lang
What baseball team was the first to make numbers part of their uniform ?       HUM:gr       ENTY:product
What continent is Egypt on ?       LOC:other       NUM:perc
What is the capital of Mongolia ?       LOC:city       ENTY:currency
What is nanotechnology ?       DESC:def       ENTY:techmeth
In the late 1700 's British convicts were used to populate which colony ?       LOC:other       ABBR:abb
What state is the geographic center of the lower 48 states ?       LOC:state       ENTY:food
What is an obtuse angle ?       DESC:def       ENTY:dismed
What are polymers ?       DESC:def       ABBR:abb
When is hurricane season in the Caribbean ?       NUM:date       NUM:period
Where is the volcano Mauna Loa ?       LOC:other       LOC:other
What is another astronomic term for the Northern Lights ?       ENTY:termeq       NUM:dist
What peninsula is Spain part of ?       LOC:other       ENTY:techmeth
When was Lyndon B. Johnson born ?       NUM:date       NUM:ord
What is acetaminophen ?       DESC:def       ABBR:abb
What state has the least amount of rain per year ?       LOC:state       ENTY:sport
Who founded American Red Cross ?       HUM:ind       ABBR:exp
What year did the Milwaukee Braves become the Atlanta Braves ?       NUM:date       ENTY:food
How fast is alcohol absorbed ?       NUM:speed       ABBR:exp
When is the summer solstice ?       NUM:date       NUM:speed
What is supernova ?       DESC:def       ABBR:abb
Where is the Shawnee National Forest ?       LOC:other       ENTY:techmeth
What U.S. state 's motto is `` Live free or Die '' ?       LOC:state       ABBR:abb
Where is the Lourve ?       LOC:other       ENTY:techmeth
When was the first stamp issued ?       NUM:date       ABBR:abb
What primary colors do you mix to make orange ?       ENTY:color       ENTY:techmeth
How far is Pluto from the sun ?       NUM:dist       ENTY:techmeth
What body of water are the Canary Islands in ?       LOC:other       ABBR:abb
What is neuropathy ?       DESC:def       ENTY:techmeth
Where is the Euphrates River ?       LOC:other       ENTY:letter
What is cryptography ?       DESC:def       ENTY:product
What is natural gas composed of ?       ENTY:substance       ENTY:techmeth
Who is the Prime Minister of Canada ?       HUM:ind       ABBR:exp
What French ruler was defeated at the battle of Waterloo ?       HUM:ind       ENTY:techmeth
What is leukemia ?       DESC:def       LOC:state
Where did Howard Hughes die ?       LOC:other       LOC:other
What is the birthstone for June ?       ENTY:substance       LOC:other
What is the sales tax in Minnesota ?       ENTY:other       ENTY:techmeth
What is the distance in miles from the earth to the sun ?       NUM:dist       NUM:other
What is the average life span for a chicken ?       NUM:period       LOC:state
When was the first Wal-Mart store opened ?       NUM:date       ENTY:techmeth
What is relative humidity ?       DESC:def       LOC:city
What city has the zip code of 35824 ?       LOC:city       LOC:other
What currency is used in Algeria ?       ENTY:currency       ENTY:techmeth
Who invented the hula hoop ?       HUM:ind       ENTY:techmeth
What was the most popular toy in 1957 ?       ENTY:product       ENTY:techmeth
What is pastrami made of ?       ENTY:substance       LOC:state
What is the name of the satellite that the Soviet Union sent into space in 1957 ?       ENTY:product       ENTY:lang
What city 's newspaper is called `` The Enquirer '' ?       LOC:city       ENTY:event
Who invented the slinky ?       HUM:ind       LOC:state
What are the animals that don 't have backbones called ?       ENTY:animal       ENTY:color
What is the melting point of copper ?       NUM:other       LOC:city
Where is the volcano Olympus Mons located ?       LOC:other       ENTY:currency
Who was the 23rd president of the United States ?       HUM:ind       LOC:other
What is the average body temperature ?       NUM:temp       ABBR:abb
What does a defibrillator do ?       DESC:desc       NUM:speed
What is the effect of acid rain ?       DESC:desc       ENTY:techmeth
What year did the United States abolish the draft ?       NUM:date       ENTY:lang
How fast is the speed of light ?       NUM:speed       ENTY:termeq
What province is Montreal in ?       LOC:state       NUM:ord
What New York City structure is also known as the Twin Towers ?       LOC:other       LOC:state
What is fungus ?       DESC:def       ENTY:techmeth
What is the most frequently spoken language in the Netherlands ?       ENTY:lang       ENTY:techmeth
What is sodium chloride ?       DESC:def       ABBR:abb
What are the spots on dominoes called ?       ENTY:termeq       NUM:speed
How many pounds in a ton ?       NUM:count       ENTY:veh
What is influenza ?       DESC:def       NUM:perc
What is ozone depletion ?       DESC:def       ENTY:color
What year was the Mona Lisa painted ?       NUM:date       ENTY:food
What does `` Sitting Shiva '' mean ?       DESC:def       NUM:dist
What is the electrical output in Madrid , Spain ?       ENTY:other       LOC:city
Which mountain range in North America stretches from Maine to Georgia ?       LOC:mount       ENTY:techmeth
What is plastic made of ?       ENTY:substance       ENTY:techmeth
What is the population of Nigeria ?       NUM:other       NUM:period
What does your spleen do ?       DESC:desc       NUM:date
Where is the Grand Canyon ?       LOC:other       ENTY:techmeth
Who invented the telephone ?       HUM:ind       ENTY:body
What year did the U.S. buy Alaska ?       NUM:date       NUM:period
What is the name of the leader of Ireland ?       HUM:ind       ENTY:lang
What is phenylalanine ?       DESC:def       LOC:city
How many gallons of water are there in a cubic foot ?       NUM:count       ENTY:instru
What are the two houses of the Legislative branch ?       ENTY:other       ENTY:substance
What is sonar ?       DESC:def       LOC:city
In Poland , where do most people live ?       LOC:other       ENTY:dismed
What is phosphorus ?       DESC:def       ENTY:product
What is the location of the Sea of Tranquility ?       LOC:other       NUM:other
How fast is sound ?       NUM:speed       LOC:other
What French province is cognac produced in ?       LOC:state       ABBR:abb
What is Valentine 's Day ?       DESC:def       LOC:city
What causes gray hair ?       DESC:reason       ENTY:techmeth
What is hypertension ?       DESC:def       ABBR:abb
What is bandwidth ?       DESC:def       LOC:city
What is the longest suspension bridge in the U.S. ?       LOC:other       ENTY:techmeth
What is a parasite ?       DESC:def       LOC:city
What is home equity ?       DESC:def       ENTY:techmeth
What do meteorologists do ?       DESC:desc       LOC:city
What is the criterion for being legally blind ?       ENTY:other       ENTY:currency
Who is the tallest man in the world ?       HUM:ind       LOC:state
What are the twin cities ?       LOC:city       ENTY:product
What did Edward Binney and Howard Smith invent in 1903 ?       ENTY:other       ENTY:other
What is the statue of liberty made of ?       ENTY:substance       ENTY:techmeth
What is pilates ?       DESC:def       ENTY:symbol
What planet is known as the `` red '' planet ?       LOC:other       ENTY:techmeth
What is the depth of the Nile river ?       NUM:dist       ENTY:color
What is the colorful Korean traditional dress called ?       ENTY:termeq       ENTY:techmeth
What is Mardi Gras ?       DESC:def       ENTY:techmeth
Mexican pesos are worth what in U.S. dollars ?       NUM:money       ENTY:techmeth
Who was the first African American to play for the Brooklyn Dodgers ?       HUM:ind       LOC:city
Who was the first Prime Minister of Canada ?       HUM:ind       LOC:city
How many Admirals are there in the U.S. Navy ?       NUM:count       ENTY:techmeth
What instrument did Glenn Miller play ?       ENTY:instru       ENTY:techmeth
How old was Joan of Arc when she died ?       NUM:period       ABBR:abb
What does the word fortnight mean ?       DESC:def       LOC:city
What is dianetics ?       DESC:def       ENTY:techmeth
What is the capital of Ethiopia ?       LOC:city       ABBR:abb
For how long is an elephant pregnant ?       NUM:period       LOC:other
How did Janice Joplin die ?       DESC:manner       LOC:other
What is the primary language in Iceland ?       ENTY:lang       ABBR:abb
What is the difference between AM radio stations and FM radio stations ?       DESC:desc       NUM:speed
What is osteoporosis ?       DESC:def       LOC:other
Who was the first woman governor in the U.S. ?       HUM:ind       LOC:other
What is peyote ?       DESC:def       LOC:other
What is the esophagus used for ?       DESC:reason       ABBR:abb
What is viscosity ?       DESC:def       ENTY:techmeth
What year did Oklahoma become a state ?       NUM:date       ENTY:techmeth
What is the abbreviation for Texas ?       ABBR:abb       NUM:dist
What is a mirror made out of ?       ENTY:substance       ENTY:currency
Where on the body is a mortarboard worn ?       LOC:other       LOC:city
What was J.F.K. 's wife 's name ?       HUM:ind       ENTY:techmeth
What does I.V. stand for ?       ABBR:exp       ENTY:techmeth
What is the chunnel ?       DESC:def       ENTY:techmeth
Where is Hitler buried ?       LOC:other       LOC:other
What are antacids ?       DESC:def       ENTY:techmeth
What is pulmonary fibrosis ?       DESC:def       ENTY:techmeth
What are Quaaludes ?       DESC:def       ABBR:abb
What is naproxen ?       DESC:def       NUM:ord
What is strep throat ?       DESC:def       ENTY:techmeth
What is the largest city in the U.S. ?       LOC:city       ENTY:letter
What is foot and mouth disease ?       ENTY:dismed       ABBR:abb
What is the life expectancy of a dollar bill ?       NUM:other       ENTY:techmeth
What do you call a professional map drawer ?       ENTY:termeq       ABBR:abb
What are Aborigines ?       DESC:def       ENTY:techmeth
What is hybridization ?       DESC:def       ENTY:food
What color is indigo ?       ENTY:color       LOC:other
How old do you have to be in order to rent a car in Italy ?       NUM:period       ENTY:techmeth
What does a barometer measure ?       ENTY:other       ENTY:techmeth
What color is a giraffe 's tongue ?       ENTY:color       LOC:other
What does USPS stand for ?       ABBR:exp       ENTY:instru
What year did the NFL go on strike ?       NUM:date       ENTY:food
What is solar wind ?       DESC:def       NUM:ord
What date did Neil Armstrong land on the moon ?       NUM:date       LOC:other
When was Hiroshima bombed ?       NUM:date       ENTY:techmeth
Where is the Savannah River ?       LOC:other       ENTY:techmeth
Who was the first woman killed in the Vietnam War ?       HUM:ind       ENTY:lang
What planet has the strongest magnetic field of all the planets ?       LOC:other       ENTY:techmeth
Who is the governor of Alaska ?       HUM:ind       ENTY:dismed
What year did Mussolini seize power in Italy ?       NUM:date       ABBR:abb
What is the capital of Persia ?       LOC:city       ENTY:techmeth
Where is the Eiffel Tower ?       LOC:other       LOC:other
How many hearts does an octopus have ?       NUM:count       ABBR:exp
What is pneumonia ?       DESC:def       ENTY:techmeth
What is the deepest lake in the US ?       LOC:other       ENTY:lang
What is a fuel cell ?       DESC:def       NUM:date
Who was the first U.S. president to appear on TV ?       HUM:ind       LOC:other
Where is the Little League Museum ?       LOC:other       LOC:other
What are the two types of twins ?       ENTY:other       ENTY:sport
What is the brightest star ?       LOC:other       ENTY:food
What is diabetes ?       DESC:def       LOC:city
When was President Kennedy shot ?       NUM:date       LOC:city
What is TMJ ?       ABBR:exp       ENTY:techmeth
What color is yak milk ?       ENTY:color       ABBR:abb
What date was Dwight D. Eisenhower born ?       NUM:date       LOC:city
What does the technical term ISDN mean ?       ABBR:exp       ENTY:techmeth
Why is the sun yellow ?       DESC:reason       LOC:state
What is the conversion rate between dollars and pounds ?       NUM:money       ENTY:techmeth
When was Abraham Lincoln born ?       NUM:date       ENTY:techmeth
What is the Milky Way ?       DESC:def       ABBR:abb
What is mold ?       DESC:def       ENTY:techmeth
What year was Mozart born ?       NUM:date       ENTY:techmeth
What is a group of frogs called ?       ENTY:animal       ENTY:techmeth
What is the name of William Penn 's ship ?       ENTY:veh       ABBR:abb
What is the melting point of gold ?       NUM:other       ENTY:currency
What is the street address of the White House ?       LOC:other       LOC:city
What is semolina ?       DESC:def       NUM:other
What fruit is Melba sauce made from ?       ENTY:food       ENTY:techmeth
What is Ursa Major ?       DESC:def       LOC:state
What is the percentage of water content in the human body ?       NUM:perc       ENTY:instru
How much does water weigh ?       NUM:weight       ENTY:sport
What was President Lyndon Johnson 's reform program called ?       ENTY:event       NUM:volsize
What is the murder rate in Windsor , Ontario ?       NUM:perc       ABBR:abb
Who is the only president to serve 2 non-consecutive terms ?       HUM:ind       ENTY:food
What is the population of Australia ?       NUM:other       ENTY:lang
Who painted the ceiling of the Sistine Chapel ?       HUM:ind       LOC:city
Name a stimulant .       ENTY:dismed       ABBR:abb
What is the effect of volcanoes on the climate ?       DESC:desc       ABBR:abb
What year did the Andy Griffith show begin ?       NUM:date       LOC:city
What is acid rain ?       DESC:def       ABBR:abb
What is the date of Mexico 's independence ?       NUM:date       ENTY:product
What is the location of Lake Champlain ?       LOC:other       ENTY:techmeth
What is the Illinois state flower ?       ENTY:plant       ENTY:techmeth
What is Maryland 's state bird ?       ENTY:animal       ABBR:abb
What is quicksilver ?       DESC:def       ABBR:abb
Who wrote `` The Divine Comedy '' ?       HUM:ind       ENTY:symbol
What is the speed of light ?       NUM:speed       ENTY:sport
What is the width of a football field ?       NUM:dist       ENTY:techmeth
Why in tennis are zero points called love ?       DESC:reason       LOC:state
What kind of dog was Toto in the Wizard of Oz ?       ENTY:animal       ENTY:food
What is a thyroid ?       DESC:def       ENTY:techmeth
What does ciao mean ?       DESC:def       ENTY:techmeth
What is the only artery that carries blue blood from the heart to the lungs ?       ENTY:body       LOC:state
How often does Old Faithful erupt at Yellowstone National Park ?       NUM:other       ENTY:techmeth
What is acetic acid ?       DESC:def       NUM:perc
What is the elevation of St. Louis , MO ?       NUM:dist       NUM:date
What color does litmus paper turn when it comes into contact with a strong acid ?       ENTY:color       ABBR:abb
What are the colors of the German flag ?       ENTY:color       ABBR:abb
What is the Moulin Rouge ?       DESC:def       LOC:other
What soviet seaport is on the Black Sea ?       LOC:other       ENTY:techmeth
What is the atomic weight of silver ?       NUM:weight       LOC:other
What currency do they use in Brazil ?       ENTY:currency       ENTY:cremat
What are pathogens ?       DESC:def       ENTY:techmeth
What is mad cow disease ?       DESC:def       ENTY:techmeth
Name a food high in zinc .       ENTY:food       ENTY:food
When did North Carolina enter the union ?       NUM:date       ABBR:abb
Where do apple snails live ?       LOC:other       NUM:volsize
What are ethics ?       DESC:def       LOC:city
What does CPR stand for ?       ABBR:exp       LOC:other
What is an annuity ?       DESC:def       ENTY:techmeth
Who killed John F. Kennedy ?       HUM:ind       LOC:city
Who was the first vice president of the U.S. ?       HUM:ind       ENTY:currency
What birthstone is turquoise ?       ENTY:substance       LOC:other
Who was the first US President to ride in an automobile to his inauguration ?       HUM:ind       NUM:volsize
How old was the youngest president of the United States ?       NUM:period       ENTY:techmeth
When was Ulysses S. Grant born ?       NUM:date       NUM:weight
What is Muscular Dystrophy ?       DESC:def       ENTY:techmeth
Who lived in the Neuschwanstein castle ?       HUM:ind       LOC:state
What is propylene glycol ?       DESC:def       LOC:city
What is a panic disorder ?       DESC:def       ENTY:body
Who invented the instant Polaroid camera ?       HUM:ind       ENTY:techmeth
What is a carcinogen ?       DESC:def       ENTY:techmeth
What is a baby lion called ?       ENTY:animal       ENTY:techmeth
What is the world 's population ?       NUM:other       ENTY:product
What is nepotism ?       DESC:def       ENTY:veh
What is die-casting ?       DESC:def       NUM:dist
What is myopia ?       DESC:def       ENTY:techmeth
What is the sales tax rate in New York ?       NUM:other       NUM:other
Developing nations comprise what percentage of the world 's population ?       NUM:perc       ENTY:food
What is the fourth highest mountain in the world ?       LOC:mount       ENTY:other
What is Shakespeare 's nickname ?       HUM:ind       LOC:city
What is the heaviest naturally occurring element ?       ENTY:substance       ABBR:exp
When is Father 's Day ?       NUM:date       ENTY:currency
What does the acronym NASA stand for ?       ABBR:exp       HUM:desc
How long is the Columbia River in miles ?       NUM:dist       NUM:date
What city 's newspaper is called `` The Star '' ?       LOC:city       ENTY:techmeth
What is carbon dioxide ?       DESC:def       ABBR:abb
Where is the Mason/Dixon line ?       LOC:other       ENTY:techmeth
When was the Boston tea party ?       NUM:date       ENTY:techmeth
What is metabolism ?       DESC:def       ENTY:product
Which U.S.A. president appeared on `` Laugh-In '' ?       HUM:ind       NUM:perc
What are cigarettes made of ?       ENTY:substance       ENTY:currency
What is the capital of Zimbabwe ?       LOC:city       LOC:other
What does NASA stand for ?       ABBR:exp       ENTY:techmeth
What is the state flower of Michigan ?       ENTY:plant       ABBR:abb
What are semiconductors ?       DESC:def       ENTY:sport
What is nuclear power ?       DESC:def       ENTY:techmeth
What is a tsunami ?       DESC:def       ENTY:other
Who is the congressman from state of Texas on the armed forces committee ?       HUM:ind       LOC:other
Who was president in 1913 ?       HUM:ind       LOC:other
When was the first kidney transplant ?       NUM:date       LOC:city
What are Canada 's two territories ?       LOC:other       ENTY:religion
What was the name of the plane Lindbergh flew solo across the Atlantic ?       ENTY:veh       ENTY:techmeth
What is genocide ?       DESC:def       ENTY:lang
What continent is Argentina on ?       LOC:other       ENTY:techmeth
What monastery was raided by Vikings in the late eighth century ?       ENTY:other       NUM:count
What is an earthquake ?       DESC:def       ENTY:sport
Where is the tallest roller coaster located ?       LOC:other       LOC:other
What are enzymes ?       DESC:def       ENTY:instru
Who discovered oxygen ?       HUM:ind       ENTY:currency
What is bangers and mash ?       DESC:def       ENTY:techmeth
What is the name given to the Tiger at Louisiana State University ?       ENTY:animal       ENTY:techmeth
Where are the British crown jewels kept ?       LOC:other       ENTY:techmeth
Who was the first person to reach the North Pole ?       HUM:ind       ABBR:abb
What is an ulcer ?       DESC:def       ENTY:techmeth
What is vertigo ?       DESC:def       ENTY:other
What is the spirometer test ?       DESC:def       NUM:dist
When is the official first day of summer ?       NUM:date       LOC:city
What does the abbreviation SOS mean ?       ABBR:exp       ENTY:techmeth
What is the smallest bird in Britain ?       ENTY:animal       ENTY:techmeth
Who invented Trivial Pursuit ?       HUM:ind       ENTY:food
What gasses are in the troposphere ?       ENTY:substance       ENTY:techmeth
Which country has the most water pollution ?       LOC:country       ABBR:abb
What is the scientific name for elephant ?       ENTY:animal       ENTY:lang
Who is the actress known for her role in the movie `` Gypsy '' ?       HUM:ind       ABBR:abb
What breed of hunting dog did the Beverly Hillbillies own ?       ENTY:animal       ABBR:abb
What is the rainiest place on Earth ?       LOC:other       ENTY:techmeth
Who was the first African American to win the Nobel Prize in literature ?       HUM:ind       ENTY:techmeth
When is St. Patrick 's Day ?       NUM:date       ENTY:techmeth
What was FDR 's dog 's name ?       ENTY:animal       ENTY:techmeth
What colors need to be mixed to get the color pink ?       ENTY:color       ENTY:techmeth
What is the most popular sport in Japan ?       ENTY:sport       ENTY:techmeth
What is the active ingredient in baking soda ?       ENTY:food       ENTY:techmeth
When was Thomas Jefferson born ?       NUM:date       ENTY:sport
How cold should a refrigerator be ?       NUM:temp       ENTY:techmeth
When was the telephone invented ?       NUM:date       ENTY:termeq
What is the most common eye color ?       ENTY:color       ENTY:techmeth
Where was the first golf course in the United States ?       LOC:other       ENTY:symbol
What is schizophrenia ?       DESC:def       ENTY:techmeth
What is angiotensin ?       DESC:def       ENTY:techmeth
What did Jesse Jackson organize ?       HUM:gr       ENTY:techmeth
What is New York 's state bird ?       ENTY:animal       LOC:other
What is the National Park in Utah ?       LOC:other       ABBR:abb
What is Susan B. Anthony 's birthday ?       NUM:date       ENTY:color
In which state would you find the Catskill Mountains ?       LOC:state       ENTY:food
What do you call a word that is spelled the same backwards and forwards ?       ENTY:termeq       NUM:other
What are pediatricians ?       DESC:def       ENTY:techmeth
What chain store is headquartered in Bentonville , Arkansas ?       HUM:gr       ABBR:abb
What are solar cells ?       DESC:def       HUM:ind
What is compounded interest ?       DESC:def       LOC:other
What are capers ?       DESC:def       ABBR:abb
What is an antigen ?       DESC:def       ENTY:techmeth
What currency does Luxembourg use ?       ENTY:currency       LOC:other
What is the population of Venezuela ?       NUM:other       ENTY:techmeth
What type of polymer is used for bulletproof vests ?       ENTY:other       ENTY:symbol
What currency does Argentina use ?       ENTY:currency       LOC:other
What is a thermometer ?       DESC:def       ENTY:product
What Canadian city has the largest population ?       LOC:city       ENTY:techmeth
What color are crickets ?       ENTY:color       ENTY:techmeth
Which country gave New York the Statue of Liberty ?       LOC:country       ENTY:food
What was the name of the first U.S. satellite sent into space ?       ENTY:product       LOC:other
What precious stone is a form of pure carbon ?       ENTY:substance       ENTY:techmeth
What kind of gas is in a fluorescent bulb ?       ENTY:substance       ENTY:techmeth
What is rheumatoid arthritis ?       DESC:def       ENTY:food
